1.845779499404625668e+01 1.445741153829662196e+01 5.880506440015082603e+00 1.412569193396134359e+01
1.004995784242508705e+01 1.540650516364923561e+01 3.237826677027884070e+00 1.286005580547374727e+01
9.781298105786667918e+00 1.830663965825149830e+01 1.588814376208695833e+01 9.666276065840295750e-01
1.419161385031409317e+01 7.561030846732801791e+00 6.843789678317653724e+00 1.091029143779616462e+01
7.373758514438975453e+00 1.657317890747882316e+01 7.362054958311039954e+00 1.474435770819035874e+00
1.977286332005994751e+01 3.219267945623849325e+00 1.794240470305531687e+01 1.327182259634056649e+01
1.266782458403945544e+00 7.480874148323179540e+00 1.609683462417659428e+01 1.814951980302024737e+01
5.764285373591513384e+00 9.224246571001838646e+00 9.158559572787732250e+00 1.669278142795063147e+01
8.058212624131593671e+00 9.267218881534233788e+00 1.373262383062450098e+01 8.129723416128031843e-01
1.963373657041676523e+01 7.431848317634703882e-01 3.378434390449513991e-01 8.745514765978146698e+00
